baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
6.451389573,1.008923175,0.314067566,3.212439881,0.001316127,0.008062637,ENSG00000275160
446.6288342,1.246106671,0.282160981,4.416296922,1.00E-05,0.000150267,ENSG00000165092
986.0041319,1.026062023,0.129639399,7.914739119,2.48E-15,3.58E-13,ENSG00000106799
440.5087925,1.445202115,0.519913207,2.779698794,0.005440934,0.024556157,ENSG00000119508
2.702739152,2.928762104,0.551602893,5.309548117,1.10E-07,3.15E-06,ENSG00000236783
19.6908732,1.987521199,0.303344181,6.552033383,5.68E-11,3.86E-09,ENSG00000213557
8.243704214,1.12444013,0.296771552,3.788908072,0.000151311,0.001427245,ENSG00000286196
148.5480961,1.856001332,0.503290636,3.687732691,0.000226261,0.00197654,ENSG00000130558
15.62715643,1.003218426,0.284789178,3.522670461,0.000427222,0.003289907,ENSG00000279141
89.52595475,1.852790817,0.628540534,2.947766641,0.003200786,0.016286739,ENSG00000198435
97.33567926,1.296689747,0.216503676,5.989227381,2.11E-09,9.60E-08,ENSG00000166341
7.55180931,1.008910245,0.367677925,2.744005492,0.006069452,0.026717068,ENSG00000255521
110.6511327,1.098954685,0.363698404,3.021609865,0.002514344,0.013517942,ENSG00000183134
98.95611331,1.214205916,0.370024581,3.281419606,0.00103286,0.006692513,ENSG00000174807
5.94224536,1.609420555,0.475261668,3.386388305,0.000708191,0.004958824,ENSG00000254441
2.644601949,1.384978365,0.454453278,3.047570418,0.002306995,0.012639571,ENSG00000187151
409.5725171,1.075365162,0.24331357,4.419667848,9.89E-06,0.000148341,ENSG00000160588
7.77923493,1.002941337,0.302019557,3.320782756,0.000897654,0.005971941,ENSG00000273415
4.310194538,1.043915756,0.412699627,2.529480736,0.011423144,0.04314605,ENSG00000281097
841.8027371,2.011405275,0.466449988,4.312156342,1.62E-05,0.000223496,ENSG00000165997
860.8128202,1.221851554,0.459687949,2.658002142,0.007860539,0.032534983,ENSG00000095794
21.51531238,1.140310058,0.212186092,5.37410369,7.70E-08,2.31E-06,ENSG00000196793
56.14691488,1.143620074,0.26288237,4.350311026,1.36E-05,0.000193964,ENSG00000156510
3.898591411,1.177293004,0.372519589,3.160351938,0.001575787,0.009299406,ENSG00000229990
18.55941941,1.24337105,0.33327053,3.730816074,0.000190861,0.001719085,ENSG00000156395
49.96911908,1.19499399,0.38197115,3.128492796,0.001757053,0.010162305,ENSG00000171798
8.999045416,1.195109991,0.3596176,3.323280041,0.000889656,0.005927008,ENSG00000130037
285.5632574,2.663348847,0.840212827,3.16985026,0.001525175,0.009060296,ENSG00000173391
58.26613199,1.10612193,0.420495747,2.63051871,0.008525468,0.034565792,ENSG00000165685
90.05949157,1.263446587,0.195850368,6.451080994,1.11E-10,6.97E-09,ENSG00000245648
70.83543169,1.729448631,0.262126444,6.597764814,4.17E-11,2.94E-09,ENSG00000213809
7.383846801,1.183442689,0.32964469,3.590055366,0.000330608,0.002687417,ENSG00000183542
5.785230844,1.567933543,0.616062809,2.545087157,0.010925047,0.041723142,ENSG00000180574
1.68308887,3.257583549,0.979579446,3.325491938,0.000882627,0.005896674,ENSG00000256377
8.808867204,1.082043941,0.31185595,3.469691505,0.000521056,0.003871907,ENSG00000275481
27.08674168,1.511192353,0.393914356,3.836347496,0.000124878,0.00122268,ENSG00000177875
92.44222222,1.43015383,0.541188243,2.642618073,0.008226778,0.03369119,ENSG00000172602
14.38605772,1.134400173,0.336835635,3.367815201,0.000757664,0.005225137,ENSG00000257495
141.0354454,1.380814342,0.287135667,4.808926587,1.52E-06,2.97E-05,ENSG00000110944
5.891160083,1.030351354,0.416522976,2.473696323,0.013372331,0.048455445,ENSG00000239335
0.854828019,1.724985896,0.663004952,2.601769248,0.009274423,0.036933759,ENSG00000257941
53.56140734,1.046904747,0.240893986,4.345914838,1.39E-05,0.000197098,ENSG00000179941
2.928605397,2.084800164,0.798071706,2.6122968,0.008993614,0.036082669,ENSG00000255650
5.029698099,1.027535609,0.401481492,2.559359845,0.010486513,0.040460807,ENSG00000272849
491.4617183,1.509779081,0.315118114,4.791152955,1.66E-06,3.21E-05,ENSG00000182782
339.3662845,1.181258629,0.267442516,4.416869264,1.00E-05,0.000149937,ENSG00000255398
77.08418397,1.325296587,0.217409222,6.095861871,1.09E-09,5.35E-08,ENSG00000111452
116.1352876,1.058025977,0.214361253,4.935714642,7.99E-07,1.73E-05,ENSG00000256223
20.61602437,2.966212199,0.950150219,3.121834991,0.001797276,0.010357481,ENSG00000165474
19.90782444,1.027956381,0.230546511,4.458780912,8.24E-06,0.000127361,ENSG00000102678
13.12507575,1.261420482,0.392718289,3.212023774,0.001318035,0.0080703,ENSG00000133116
4.342971165,1.838713788,0.48741238,3.772398615,0.000161686,0.001505514,ENSG00000223336
194.1482392,1.779182792,0.239208292,7.437797319,1.02E-13,1.13E-11,ENSG00000152207
20.44526275,1.369054681,0.275918748,4.961803766,6.98E-07,1.54E-05,ENSG00000281106
184.6180264,1.063191051,0.269690756,3.942259895,8.07E-05,0.000847618,ENSG00000235532
370.5250143,1.460398708,0.29118106,5.015431668,5.29E-07,1.21E-05,ENSG00000125245
19.57937717,1.148482813,0.464126815,2.474502172,0.013342201,0.048377811,ENSG00000041515
106.7378015,2.480969253,0.605436031,4.097822271,4.17E-05,0.000490695,ENSG00000211821
2.491832838,1.741730256,0.53411235,3.260981055,0.001110275,0.007082647,ENSG00000211835
6.48564076,1.008877408,0.328399236,3.072106442,0.002125539,0.01182021,ENSG00000211836
5.8516403,1.059376556,0.319521447,3.315510008,0.000914761,0.006065178,ENSG00000211845
3.586960472,1.074498174,0.367702692,2.922192836,0.003475763,0.017339293,ENSG00000211847
5.053547408,1.345802064,0.349586137,3.849700891,0.000118262,0.001169088,ENSG00000211848
5.47477591,1.119836672,0.293919951,3.810005639,0.000138964,0.001329203,ENSG00000211851
7.577835829,1.785186582,0.302333213,5.904698865,3.53E-09,1.51E-07,ENSG00000211856
14.26512243,1.065918426,0.259765685,4.103384271,4.07E-05,0.000480232,ENSG00000211857
1.463937754,1.895160363,0.627805883,3.01870437,0.002538581,0.013608754,ENSG00000211875
2.12061293,1.528940152,0.520690681,2.936369341,0.003320787,0.016754171,ENSG00000211886
4.530446941,1.14462601,0.358839199,3.189802044,0.001423703,0.008592207,ENSG00000211887
30.21357595,1.322447261,0.370974296,3.564794849,0.000364141,0.002887494,ENSG00000257957
2.300631782,1.815304412,0.524387758,3.461759704,0.000536656,0.003972187,ENSG00000125378
7.137976184,1.389088362,0.343436455,4.044673602,5.24E-05,0.00059425,ENSG00000258872
1115.705915,1.26654453,0.253714927,4.991998479,5.98E-07,1.34E-05,ENSG00000139970
29.65290803,1.182893559,0.339906717,3.480053497,0.000501314,0.003752144,ENSG00000258511
24.50462057,1.147214655,0.304264816,3.770447963,0.000162955,0.001516061,ENSG00000183092
15.48364998,1.573888136,0.370503509,4.24797093,2.16E-05,0.000284301,ENSG00000259161
957.0779953,1.120106622,0.21080217,5.313544064,1.08E-07,3.09E-06,ENSG00000183484
364.4980548,1.370120461,0.261439888,5.240671091,1.60E-07,4.35E-06,ENSG00000182809
329.6481235,1.100978906,0.253858454,4.336979478,1.44E-05,0.000203341,ENSG00000276550
3.624442985,1.045199574,0.385199583,2.713397469,0.006659717,0.02867161,ENSG00000259709
1.902453576,1.559458004,0.537071353,2.903632814,0.003688605,0.018108486,ENSG00000259513
3.488711111,1.14351747,0.415267392,2.753689529,0.005892764,0.026114875,ENSG00000129028
8.499661703,1.075912461,0.308335618,3.489419967,0.00048407,0.003642706,ENSG00000255769
45.89304169,1.753729409,0.527374807,3.32539474,0.000882934,0.005897548,ENSG00000007038
87.47448781,1.007949002,0.197615335,5.100560641,3.39E-07,8.30E-06,ENSG00000167981
18.60514149,3.004099983,0.837282888,3.587915177,0.000333333,0.002704293,ENSG00000254681
33.6838264,1.653651245,0.436340355,3.789819638,0.000150757,0.001423194,ENSG00000237296
2.785809757,1.229971065,0.421085327,2.920954463,0.003489608,0.01739535,ENSG00000262714
12.31837967,1.727824361,0.580721311,2.97530731,0.002926952,0.015194812,ENSG00000260135
7.813838555,1.159002262,0.322993389,3.588315742,0.000332821,0.0027008,ENSG00000280163
0.861311753,2.402385934,0.783216753,3.067332158,0.002159787,0.011980692,ENSG00000261029
2.860968296,1.311165536,0.531239946,2.468123011,0.013582364,0.049024716,ENSG00000261327
20.68485295,1.056934345,0.365599815,2.890959735,0.003840673,0.018689302,ENSG00000109099
47.67475397,1.046724891,0.170497766,6.139229369,8.29E-10,4.25E-08,ENSG00000154016
21.82376083,1.285826978,0.314058342,4.09422966,4.24E-05,0.000497312,ENSG00000142494
9.833200911,1.425906947,0.459039559,3.106283365,0.001894551,0.010813403,ENSG00000233098
9.105415616,1.080737363,0.283676786,3.809749041,0.000139108,0.001330202,ENSG00000277450
2204.112447,1.445703792,0.356842427,4.051378655,5.09E-05,0.000579641,ENSG00000275302
137.3384491,1.163642836,0.365935629,3.179911281,0.001473201,0.008834478,ENSG00000175906
9.746612079,1.436946509,0.388816969,3.695688783,0.000219291,0.001926253,ENSG00000233483
46.18283277,1.780016167,0.39041328,4.559312551,5.13E-06,8.45E-05,ENSG00000183691
24.42689611,1.766454662,0.698754155,2.528005952,0.011471241,0.043263259,ENSG00000129654
6.278874312,1.943570885,0.533783456,3.641122372,0.000271452,0.002300787,ENSG00000287403
805.9307792,1.074616365,0.255588308,4.204481701,2.62E-05,0.000334567,ENSG00000177426
8.133031097,1.090494005,0.355655047,3.066156422,0.002168298,0.012023906,ENSG00000265316
53.38086504,1.410165518,0.400488221,3.521116084,0.000429734,0.003303912,ENSG00000134765
1.484302383,1.794070115,0.680927378,2.634745164,0.008420047,0.034242759,ENSG00000215595
4.346109368,2.289987476,0.769745023,2.974994844,0.002929935,0.01520793,ENSG00000287561
8.159242085,1.200035683,0.451053499,2.660517403,0.00780207,0.032369318,ENSG00000263905
10.66246635,1.029330357,0.378541175,2.719203156,0.00654394,0.028290048,ENSG00000132622
21.13258693,1.821828819,0.330514532,5.512099,3.55E-08,1.18E-06,ENSG00000277301
2.050937493,1.815804436,0.585681341,3.100328301,0.001933063,0.010974976,ENSG00000222460
3.423832848,1.070979523,0.413618729,2.589291653,0.00961736,0.037959429,ENSG00000273451
211.1132228,1.064130922,0.168843984,6.302450932,2.93E-10,1.68E-08,ENSG00000087589
7.025264871,2.995601172,0.669077129,4.477213523,7.56E-06,0.000118329,ENSG00000101197
39.77114772,1.384125087,0.263345114,5.255936083,1.47E-07,4.04E-06,ENSG00000268758
25.58843281,1.213239435,0.279850488,4.335312908,1.46E-05,0.000204522,ENSG00000090659
21.03479051,1.004362661,0.26577621,3.778978793,0.000157473,0.001470393,ENSG00000286138
240.1327193,1.10932215,0.198891339,5.577528705,2.44E-08,8.45E-07,ENSG00000142303
19.12078876,1.225738018,0.37945635,3.230247739,0.00123683,0.007697482,ENSG00000080573
87.27163802,1.039209061,0.194609978,5.339957743,9.30E-08,2.73E-06,ENSG00000188868
2.452230791,1.577204766,0.548439723,2.875803303,0.004030008,0.019407362,ENSG00000263800
189.2433178,1.383903726,0.308752959,4.482236325,7.39E-06,0.000116067,ENSG00000131355
3.126825819,1.506314361,0.538117337,2.799230308,0.005122459,0.023388096,ENSG00000179913
287.5036429,1.248392802,0.310545601,4.019998347,5.82E-05,0.000647289,ENSG00000105708
21.55221403,1.220240807,0.27069978,4.507727363,6.55E-06,0.00010439,ENSG00000267767
11.17720843,1.138687904,0.411110866,2.76978304,0.005609364,0.025119345,ENSG00000261754
64.11700295,1.130755702,0.221324532,5.109039155,3.24E-07,7.97E-06,ENSG00000171817
97.17224274,1.054996189,0.203395941,5.186908766,2.14E-07,5.57E-06,ENSG00000180479
68.06192898,1.300885271,0.192718811,6.750172771,1.48E-11,1.15E-09,ENSG00000198182
5.260070536,1.713320366,0.420413958,4.075317514,4.60E-05,0.000534057,ENSG00000267422
163.7020911,1.536492321,0.529383495,2.90241826,0.003702938,0.018162806,ENSG00000124466
29.04297756,1.088753563,0.16063963,6.777614989,1.22E-11,9.63E-10,ENSG00000186026
7601.720449,1.139734286,0.2966464,3.842063426,0.000122004,0.001200292,ENSG00000125740
7.94147477,1.485709394,0.462548371,3.212008703,0.001318104,0.0080703,ENSG00000232871
3.306167455,1.304496533,0.451939889,2.886438141,0.003896293,0.018894416,ENSG00000267895
